id;first_name;last_name;phone;email;cif;login
1;Jerald;Wolff;547.993.7009;Craig.Gleason53@hotmail.com;generating collaborative;multi-byte Oregon
2;Natalie;Lebsack;235-695-6510;Gunnar5@yahoo.com;Yen Louisiana Alaska;Regional
3;Arnaldo;Brakus;212.029.9616;Ena_Batz@hotmail.com;synergize application;bandwidth backing up
4;Giuseppe;Ernser;366.654.5310 x07555;Luciano.Barrows79@yahoo.com;Beauty card redundant;Cayman Islands
5;Darrell;Moore;406.592.5429 x08478;Amalia19@gmail.com;monitor Handcrafted Plastic Hat Automotive;Versatile program Integration
6;Margie;Rosenbaum;883.528.1442 x99572;Mariah_Cartwright78@yahoo.com;parsing;online Tasty Steel Bike
7;Ola;Jakubowski;420.069.4331 x602;Janick.Stroman@hotmail.com;Associate;client-driven Dynamic hack
8;Ewald;Okuneva;(618) 828-2925;Kaylin_Romaguera34@gmail.com;withdrawal;toolset
9;Rosalyn;O'Connell;967.525.3547 x41595;Emmalee.Erdman51@hotmail.com;web-enabled;Ohio Handcrafted Frozen Hat Investment Account
10;Leanne;Abshire;914.561.4919 x2119;Barry_Goodwin36@gmail.com;back-end;Solomon Islands
